,에스컬레이터 설치 수,버스 정류장 수,경찰서 수,도서관 수,소방서 수,사회복지시설 수,학교 수,구청 수,은행 수,병원 수,일반적 주거 건물의 수,아파트 수,사고발생건수,보관함 소형,보관함 중형,보관함 대형,총인구(명),주택 계(호),단독주택(호),아파트(호),연립주택(호),다세대주택(호),비주거용 건물 내 주택(호),주택 이외의 거처 계(호)
가산디지털단지,14,34,2,2,0,0,0,1,6,0,6,0,1,18,4,4,423397,137863,11083,86368,7631,31973,808,17245
강남구청,7,12,3,3,0,1,0,2,43,1,0,3,1,12,2,3,511084,184608,6161,138025,5645,33229,1548,15217
건대입구,11,8,5,4,0,0,1,3,8,2,0,0,2,27,6,6,348160,95286,14861,35072,4173,39797,1383,10161
고속터미널,21,28,4,2,1,0,0,0,35,0,0,4,2,18,4,4,385267,136528,5161,96291,5301,28630,1145,9599
공릉,8,28,3,4,0,5,1,1,10,0,0,0,1,9,2,2,492979,192926,6356,167100,3530,15272,668,3377
광명사거리,2,22,1,4,0,1,1,4,4,8,0,0,1,18,4,4,275397,99923,4382,77576,1063,16431,471,5800
남구로,12,18,6,3,0,0,0,3,9,0,6,0,1,9,2,2,423397,137863,11083,86368,7631,31973,808,17245
남성,14,30,4,6,0,0,1,5,2,0,2,0,1,6,2,1,432874,143240,20848,83728,6362,30957,1345,4275
내방,10,26,2,0,0,0,2,3,9,2,0,2,1,9,2,2,385267,136528,5161,96291,5301,28630,1145,9599
노원,15,19,1,4,0,0,4,2,4,1,0,2,2,15,2,4,492979,192926,6356,167100,3530,15272,668,3377
논현,19,15,3,0,0,0,0,2,33,1,0,0,1,12,2,3,511084,184608,6161,138025,5645,33229,1548,15217
대림,13,25,6,2,0,0,2,3,10,2,0,0,2,9,2,2,423397,137863,11083,86368,7631,31973,808,17245
도봉산,10,10,0,0,1,0,1,0,0,0,0,0,1,6,2,1,299931,109465,8290,65690,4250,30536,699,5382
뚝섬유원지,4,7,3,4,0,0,1,2,2,0,0,0,1,12,4,2,348160,95286,14861,35072,4173,39797,1383,10161
마들,8,21,2,3,0,0,1,1,8,0,0,0,1,9,2,2,492979,192926,6356,167100,3530,15272,668,3377
먹골,6,29,2,0,0,4,4,2,6,0,0,0,1,6,2,1,376621,119961,17698,59984,4465,36336,1478,5842
면목,6,22,7,6,0,4,3,6,11,2,1,1,1,9,2,2,376621,119961,17698,59984,4465,36336,1478,5842
반포,6,18,2,0,0,0,0,1,25,0,0,2,1,6,2,1,385267,136528,5161,96291,5301,28630,1145,9599
보라매,4,27,3,3,1,0,2,0,5,0,0,0,1,9,2,2,493677,130244,20630,57467,6196,44071,1880,19978
사가정,10,21,6,3,0,4,5,2,8,1,0,0,1,9,2,2,376621,119961,17698,59984,4465,36336,1478,5842
상도,11,28,2,2,0,0,0,2,3,0,0,1,1,6,2,1,384089,122058,13829,67675,5061,34474,1019,4114
상봉,6,16,2,4,0,4,2,2,11,2,0,1,2,15,2,4,376621,119961,17698,59984,4465,36336,1478,5842
수락산,6,11,0,0,0,0,1,0,1,2,0,6,1,6,2,1,492979,192926,6356,167100,3530,15272,668,3377
숭실대입구,12,12,2,4,0,0,0,2,1,0,0,1,1,9,2,2,384089,122058,13829,67675,5061,34474,1019,4114
신대방삼거리,12,28,3,3,1,0,2,1,9,0,0,0,1,9,2,2,384089,122058,13829,67675,5061,34474,1019,4114
신풍,4,27,4,4,0,0,2,3,1,1,0,0,1,9,2,2,400544,114173,13593,80513,1760,17198,1109,32600
어린이대공원,6,12,3,5,0,0,1,4,7,1,0,0,1,9,2,2,348160,95286,14861,35072,4173,39797,1383,10161
온수,16,17,1,2,0,0,0,1,1,0,0,0,2,9,2,2,803512,282487,16378,166632,7155,89773,2549,25421
용마산,8,9,3,1,1,5,3,1,8,1,0,0,1,6,2,1,376621,119961,17698,59984,4465,36336,1478,5842
이수,23,27,4,2,0,0,3,4,6,0,0,0,2,12,2,3,385267,136528,5161,96291,5301,28630,1145,9599
장승배기,14,29,2,1,0,0,0,3,6,0,0,0,1,6,2,1,493677,130244,20630,57467,6196,44071,1880,19978
중계,10,19,0,3,0,0,3,1,0,0,0,2,1,9,2,2,492979,192926,6356,167100,3530,15272,668,3377
중곡,4,11,4,4,1,2,5,3,3,2,0,0,1,6,2,1,348160,95286,14861,35072,4173,39797,1383,10161
중화,6,30,4,2,0,4,2,1,8,0,0,0,1,9,2,2,376621,119961,17698,59984,4465,36336,1478,5842
천왕,6,20,1,1,0,0,1,1,1,0,0,0,1,6,2,1,423397,137863,11083,86368,7631,31973,808,17245
철산,6,27,0,2,0,0,0,3,0,9,0,0,1,12,2,3,275397,99923,4382,77576,1063,16431,471,5800
청담,16,14,3,2,0,0,0,1,25,0,0,3,1,18,4,4,511084,184608,6161,138025,5645,33229,1548,15217
태릉입구,8,37,1,4,0,4,2,4,4,0,0,0,3,9,2,2,492979,192926,6356,167100,3530,15272,668,3377
하계,6,26,1,6,0,0,1,2,1,0,0,0,1,9,2,2,492979,192926,6356,167100,3530,15272,668,3377
학동,10,9,2,1,0,0,0,2,34,0,0,1,1,12,2,3,511084,184608,6161,138025,5645,33229,1548,15217
