지하철역 / 총 승하차인원,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,9시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,00시-01시,01시-02시,02시-03시,03시-04시
가산디지털단지,34.06010929,641.8442621,1943.478142,7748.423498,19888.02186,11326.78962,3869.740437,2893.784153,3135.893443,3455.489071,3526.39071,3989.20765,5162.245903,11652.13388,16438.72951,7074.308744,4061.409836,3188.396175,1974.357924,222.65847,0.245901639,0.010928962,0
강남구청,1.079234972,174.1530055,1001.396175,2062.721311,5568.88798,5438.196723,2511.877049,1765.136612,1739.718579,1965.715847,1974.718579,2141.661202,2441.513661,3415.385246,5340.674862,3272.032787,2059.057377,1902.560109,1399.418033,170.7677596,0.193989071,0,0
건대입구,3.032786885,264.8333333,656.6420764,1610.13388,2858.76776,2248.311476,2005.663934,1915.868852,2091.647541,2315.095628,2356.161202,2562.797814,2832.270492,3549.871585,3803.765027,2594.718579,2139.008197,1820.090164,1594.002732,262.1065574,11.28142077,0.103825137,0
고속터미널,1.923497268,193.9617486,1236.445355,2398.86612,3394.505464,3042.765028,2711.789617,2731.713115,2645.442623,2838.814208,2768.849727,2940.010929,3190.95082,3970.70765,3820.972678,2515.759563,2290.636612,2072.92623,1525.909836,74.99453552,0.478142076,0,0
공릉,0.953551913,362.1420765,920.6857923,2312.459016,3222.423497,2065.964481,1568.836066,1490.964481,1693.057377,1749.076503,1668.636612,1887.576503,2193.112022,2502.128415,3176.568306,2446.027322,1567.278689,1431.931694,1335.907104,252.3852459,0.420765027,0,0
광명사거리,8.814207649,1231.972678,1997.628415,4417.204918,5282.420764,3326.751366,2652.745902,2705.215847,2919.863388,3029.825136,2999.904372,3283.47541,3752.377049,4358.360656,5338.256833,3985.795082,2416.54918,2015.661202,1641.131148,249.636612,1.363387978,0,0
남구로,7.456284152,961.1775954,1169.997268,3000.267759,6231.112023,3344.65847,1748.29235,1457.994536,1485.680328,1528.401639,1426.691257,1676.428962,2224.016394,3639.595628,4983.568308,2602.428962,1588.978142,1426.401639,1100.464481,123.2431694,0.224043716,0.00273224,0
남성,1.00273224,355.5573771,886.9262297,2216.89071,3502.270492,2306.898907,1552.814208,1442.13388,1471,1529.193989,1440.918033,1603.095629,1799.622951,2122.144809,2873.710382,2003.464481,1405.811475,1265.445355,1082.122951,179.6338798,0.450819672,0,0
내방,0.346994536,197.1010929,962.9180326,2155.887978,5366.562841,3317.210382,1824.918033,1612.245901,1691.915301,1843.909836,1782.437159,1927.508197,2221.669399,3235.797814,4928.535521,2353.63388,1580.360656,1456.483607,1104.68306,181.2595628,9.980874315,0.021857923,0
노원,2.674863388,533.852459,1226.827869,3078.396175,4840.300546,3869.543716,3143.901639,3300.581967,3622.019126,3791.543716,3818.554645,4155.150273,4517.081967,4959.882511,5887.19399,4423.726776,2994.243169,2437.513661,2176.377049,310.2021858,0.775956284,0.076502732,0
논현,1.153005464,193.8715847,982.0109292,2415.967213,5629.114756,4787.15847,2236.333333,1688.418033,1723.185792,1893.65847,2020.36612,2181.013661,2575.557377,4116.002732,6263.827869,3447.620219,2218.628415,2225.420765,1967.625683,264.5218579,0.322404372,0,0
대림,2.139344262,644.0956284,611.3606557,1113.882513,2017.095629,1565.543716,1529.989071,1617.459016,1523.221312,1594.918033,1614.262295,1698.729508,1847.188525,2176.997268,2174.469945,1467.60929,1097.60929,1077.762295,865.3224044,83.39344264,0.234972678,0.021857923,0
도봉산,3.87704918,317.0628415,1123.327869,2846.855191,2704.628415,1828.745902,1408.508197,1229.368853,1233.360656,1224.289618,1181.346994,1340.114754,1583.122951,1733.019126,2310.762295,2137.765027,1318.371585,1104.516393,970.3633879,241.3114754,6.374316939,0.174863388,0
뚝섬유원지,0.512880562,279.9660421,665.3676816,1386.692038,2157.418033,1527.632318,1031.483607,986.9051523,1109.978923,1250.715457,1347.277518,1544.314988,1807.057377,2164.187354,2708.216628,2129.051522,1688.272834,1518.491803,1224.453162,132.6850117,0.523419204,0.003512881,0
마들,1.057377049,596.2786884,1445.363388,3493.650273,3604.18306,2071.691257,1604.464481,1562.775956,1709.202186,1611.587431,1566.579235,1760.756831,1959.418033,2152.540983,2874.330601,2677.885246,1572.360656,1315.669399,1196.781421,223.8934426,0.349726776,0.06010929,0
먹골,0.729508197,417.409836,830.1530056,2026.68306,2957.502732,1763.051912,1309.486339,1286.907104,1402.461749,1390.13388,1337.428962,1517.991803,1770.193989,2052.647541,2661.592896,2142.153005,1377.237705,1179.306011,1025.636612,170.2595628,8.076502731,0.005464481,0
면목,3.639344262,709.0765028,1407.84153,3181.456284,4847.314208,2834.297814,1989.188524,1778.404372,1991.31694,1944.617487,1859.147541,2174.704918,2669.718579,2860.153005,3641.907104,3127.188525,1884.04918,1605.877049,1448.193989,251.9945355,0.480874317,0,0
반포,0.081967213,113.4699453,822.9398907,994.2677597,1485.437159,1206.855191,823.9672131,830.7540984,886.0081967,916.0327869,920.5273225,1021.644809,1434.076503,1406.614754,1470.939891,968.8114756,717.5655738,699.2295084,545.6256831,52.90163936,0.054644809,0,0
보라매,0.639344262,234.0355191,481.5655738,1295.270492,2302.420765,1257.15847,868.0464482,849.071038,923.8005462,918.47541,907.2786885,974.6256831,1150.39071,1468.508197,2089.612022,1280.054645,887.3306011,812.5382513,704.2759564,129.284153,1.576502732,0,0
사가정,0.945355191,651.4808744,1492.199454,3242.147541,4690.617486,2899.254098,2084.226776,1952.333333,2120.562841,2102.937158,2071.693989,2373.961749,2763.47541,3279.281421,4292.669399,3442.221311,2127.571038,1882.043716,1587.357924,258.1202186,0.571038251,0.00273224,0
상도,0.278688525,337.1748634,852.7622951,2086.112022,3309.34153,2249.983607,1757.576503,1538.303279,1650.363388,1624.97541,1654.256831,1741.52459,2007.765028,2424.418033,3181.598361,2051.248634,1500.431694,1397.571038,1265.456284,213.6120218,0.535519126,0,0
상봉,22.78688524,622.5,1373.360656,3279.032787,4992.221311,2883.54918,1985.942623,1952.532787,2168.590164,2225.737705,2177.934426,2356.180328,2829.327869,3498.778688,4835.180328,3900.040983,2500.909836,2180.52459,1958.729508,440.2540983,2.31147541,0,0
