지하철역 / 혼잡도,5시30분,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분,00시00분,00시30분
가산디지털단지,29.36111111,23.6,23.71666667,27.35555556,33.35555556,37.91666667,34.81111111,33.62222222,32.78333333,32.08888889,29.89444444,32.17222222,29.83888889,30.14444444,31.85,33.17777778,30.93888889,32.31666667,32.26666667,33.78333333,36.9,40.21666667,45.42777778,50.31111111,53.44444444,56.47777778,49.89444444,39.86111111,35.65,29.83888889,29.91666667,30.73333333,29.47777778,28.35555556,27.74444444,26.33888889,15.92777778,6.15,3.1
강남구청,16.55,28.62222222,22.54444444,26.57222222,34.01111111,39.52222222,37.07222222,40.20555556,40.35555556,35.92777778,35.63333333,33.89444444,35.73888889,36.86666667,38.73333333,38.20555556,38.97777778,37.56666667,39.58888889,41.28333333,44.85555556,48.58333333,52.88888889,57.78333333,55.52777778,58.50555556,52.70555556,45.09444444,39.11666667,37.82222222,38.3,38.85555556,36.61111111,38.98333333,32.93333333,26.87222222,20.97777778,5.261111111,3.016666667
건대입구,23.21111111,31.26666667,27.02777778,33.51666667,40.65555556,46.17222222,44.47777778,48.70555556,44.77777778,39.22777778,36.21111111,35.98333333,35.32222222,37.26111111,39.43888889,40.35,37.87222222,39.88333333,40.79444444,43.33333333,46.68888889,53.47222222,55.96111111,60.13888889,64.24444444,59.65555556,59.3,48.44444444,44.7,44.42777778,44.65555556,46.48333333,45.43888889,48.67222222,39.19444444,34.87777778,29.17222222,7.772222222,1.733333333
고속터미널,15.84444444,29.41666667,20.14444444,24.57777778,32.48888889,39.73888889,35.71111111,37.46111111,37.78333333,33.52777778,32.71666667,32.02222222,33.51111111,34.17222222,36.32777778,37.23333333,36.2,35.65,38.71111111,40.52777778,42.71111111,47.93333333,53.37222222,55.85555556,57.33888889,55.57777778,51.01111111,46.3,39.63333333,39.28888889,40.20555556,39.52222222,38.39444444,38.51666667,36.1,27.32222222,18.69444444,3.338888889,2.611111111
공릉,26.20555556,20.62777778,21.25555556,27.20555556,31.63333333,36.26666667,35.59444444,36.6,34.04444444,30.00555556,28.03333333,29.11111111,29.15,30.58333333,31.03888889,31.00555556,29.83333333,29.66666667,29.16666667,31.45555556,32.15555556,34.70555556,38.76666667,36.24444444,40.13888889,38.87222222,36.92222222,29.25,25.63888889,24.03333333,25.87777778,25.45555556,24.58888889,26.36666667,22.70555556,19.35,15.91666667,4.444444444,3.022222222
광명사거리,29.02777778,20.40555556,23.08888889,29.45555556,37.31111111,39.52222222,39.46111111,36.11111111,30.37777778,29.68888889,29.07777778,26.77222222,26.52222222,27.66111111,28.46111111,26.76111111,28.30555556,28.09444444,26.11666667,28.57222222,32.56111111,31.53333333,37.11666667,39.12222222,40.33888889,43.13888889,39.7,31.37777778,27.18888889,22.94444444,25.26111111,22.99444444,22.74444444,22.8,21.80555556,19.5,11.48888889,3.7,2.344444444
남구로,35.61666667,25.81666667,23.51111111,28.39444444,36.27222222,41.72222222,37.88888889,35.63333333,33.58333333,32.43333333,30.34444444,31.41666667,30.42777778,30.01666667,31.73888889,32.86111111,30.98888889,30.64444444,30.9,32.57222222,33.96111111,36.95,41.37777778,43.08333333,44.10555556,45.94444444,41.81666667,35.56111111,31.47222222,26.91666667,27,27.56111111,25.57777778,25.26111111,25.17777778,23.46666667,13.78333333,3.194444444,2.905555556
남성,33.88333333,28.46111111,23.42222222,29.27222222,36.41111111,47.5,39.67222222,41.73888889,37.1,36.07777778,32.42777778,31.97222222,32.3,34.42222222,34.96111111,34.51111111,34.03888889,32.12222222,33.25,34.54444444,36.37777778,38.91111111,45.39444444,44.62222222,44.97777778,44.00555556,41.54444444,36.02222222,31.67222222,28.72777778,30.07222222,30.59444444,29.05,29.75,28.77777778,23.68888889,16.15,4.072222222,3.4
내방,17.27777778,35.48888889,24.86666667,32.33333333,37.96666667,49.08888889,40.63888889,45.02777778,42.56111111,38.62222222,37.35555556,37.09444444,36.9,38.78333333,40.74444444,40.45,39.34444444,38.87777778,40.47222222,41.33888889,43.62222222,48.04444444,53.63333333,54.69444444,56.4,53.53333333,49.82222222,44.65555556,37.84444444,35.09444444,36.39444444,37.3,34.75,35.77777778,33.72777778,25.64444444,16.91111111,3.2,2.144444444
노원,16.17777778,13.99444444,14.33888889,17.48888889,20.95555556,23.65,23.86111111,24.52777778,23.1,19.92777778,19.76111111,19.53888889,19.15555556,20.25555556,20.40555556,20.49444444,19.41666667,19.82777778,20.05555556,21.51111111,22.09444444,23.84444444,25.2,24.16666667,23.98333333,25.85555556,24.22222222,19.32777778,17.12777778,16.36666667,17.22777778,16.87777778,15.87777778,17.43333333,14.11666667,12.52777778,11.27222222,5.911111111,2.188888889
